Id,Question,implicit_intermediate_question,implicit_answer_type,gpt_intermediate_question,gpt_answer_type,difference_type
3088,What movie did Dame Shirley Bassey DBE record a theme song for during her time as a James Bond franchise star?,When was Dame Shirley Bassey DBE a James Bond franchise star,time interval,When Dame Shirley Bassey DBE was a James Bond franchise star,time interval,intermediate_question_different
3089,Who designed the buildings of the Van Gogh Museum when it was established?,When was the Van Gogh Museum established,date,When Van Gogh Museum was established,date,intermediate_question_different
3090,"Who composed the song ""The Song of the Germans"" during the Weimar Republic era in Deutsches Reich (German)?",When was the Weimar Republic era in Deutsches Reich,time interval,"When was the song ""The Song of the Germans"" composed during the Weimar Republic era in Deutsches Reich (German)",time interval,intermediate_question_different
3091,What was Caster Semenya's personal best in the 400 metres event when she also ran 45.00?,When Caster Semenya ran 45.00 in the 400 metres event,date,When Caster Semenya ran 45.00 in the 400 metres event,time interval,answer_type_different
3092,"After being born in Brooklyn, in which unincorporated community in the United States did iconic representational painter Jane Freilicher live?",When Jane Freilicher lived in Brooklyn,time interval,When Jane Freilicher was born in Brooklyn,date,intermediate_question_and_answer_type_different
3094,What school did Margery Allingham attend before she studied drama and speech training at Regent Street Polytechnic to manage her childhood stammer?,When Margery Allingham studied drama and speech training at Regent Street Polytechnic,time interval,When Margery Allingham studied drama and speech training at Regent Street Polytechnic to manage her childhood stammer,time interval,intermediate_question_different
3095,"During the Eyalet of Tunis, what country was Tunisia located in?",When the Eyalet of Tunis existed,time interval,When Tunisia was located in Eyalet of Tunis,time interval,intermediate_question_different
3097,What municipality was replaced by Akashi while Uozumi still existed?,When Uozumi existed,time interval,When Akashi replaced Uozumi municipality,date,intermediate_question_and_answer_type_different
3098,Who was the chairperson of the State Ethnic Affairs Commission before Li De Ju?,When Li De Ju was the chairperson of the State Ethnic Affairs Commission,time interval,When Li De Ju became the chairperson of the State Ethnic Affairs Commission,date,intermediate_question_and_answer_type_different
3099,"In the Israeli legislative election of which Haim Kaufman was a Knesset member for the Likud parliamentary group, did the Likud party finish 11 seats ahead of the Alignment?",When Haim Kaufman was a Knesset member for the Likud parliamentary group,time interval,When Haim Kaufman was a Knesset member for the Likud parliamentary group in the Israeli legislative election,time interval,intermediate_question_different
3101,"During the severe flooding in India’s state of Kerala, who was the head of government in Kerala?",When the severe flooding occurred in India’s state of Kerala,time interval,When severe flooding in India’s state of Kerala occurred,time interval,intermediate_question_different
3102,Who was the Second Vice President of Peru when Javier Alva Orlandini held that office?,When Javier Alva Orlandini was the Second Vice President of Peru,time interval,When Javier Alva Orlandini was Second Vice President of Peru,time interval,intermediate_question_different
3103,At which edition of the Tour Finals did Daniela Hantuchova record her best Grand Slam mixed doubles result at the Australian Open?,When Daniela Hantuchova recorded her best Grand Slam mixed doubles result at the Australian Open,date,When Daniela Hantuchova recorded her best Grand Slam mixed doubles result at the Australian Open,time interval,answer_type_different
3104,Who succeeded Émile Jourdan as head of government in Nîmes?,When Émile Jourdan was head of government in Nîmes,time interval,When Émile Jourdan ceased to be head of government in Nîmes,date,intermediate_question_and_answer_type_different
3105,"In which city had Leroy Nash spent much of his life, in and out of prison, prior to his death in Florence Arizona at the age of 94?","When Leroy Nash spent much of his life in and out of prison in Florence, Arizona",time interval,When Leroy Nash died in Florence Arizona,date,intermediate_question_and_answer_type_different
3106,What was Rexy Mainaky's accomplishment in the Asian Cup Beijing Men's Doubles tournament during the Asian Games Hiroshima Men's Doubles?,When the Asian Games Hiroshima Men's Doubles tournament occurred,time interval,When Rexy Mainaky won the Asian Cup Beijing Men's Doubles tournament during the Asian Games Hiroshima Men's Doubles,time interval,intermediate_question_different
3107,"While Forest Evashevski was playing for the Iowa Pre-Flight team, which college sports team was he an assistant coach for?",When Forest Evashevski played for the Iowa Pre-Flight team,time interval,When Forest Evashevski was playing for the Iowa Pre-Flight team,time interval,intermediate_question_different
3108,What was the edition of the French Open at which Mary Pierce won her second Grand Slam singles title and her first Grand Slam doubles title?,When Mary Pierce won her second Grand Slam singles title and her first Grand Slam doubles title at the French Open,date,When Mary Pierce won her second Grand Slam singles title and her first Grand Slam doubles title,time interval,intermediate_question_and_answer_type_different
3109,"During Joe Dunn's time as a Member of the California Senate from the 34th district, who did he unseat in order to be elected to the state Senate?",When Joe Dunn was a Member of the California Senate from the 34th district,time interval,When Joe Dunn was elected to the California State Senate from the 34th district,date,intermediate_question_and_answer_type_different
3112,In which prison was Carlos the Jackal held after La Santé Prison?,When Carlos the Jackal was held in La Santé Prison,time interval,When Carlos the Jackal was held in La Santé Prison,date,answer_type_different
